Entity,Code,Year,Annual CO₂ emissions (per capita)
United States,USA,1953,16.212685
United States,USA,1954,15.213387
United States,USA,1955,16.417036
United States,USA,1956,16.940592
United States,USA,1957,16.535189
United States,USA,1958,15.768463
United States,USA,1959,15.986401
United States,USA,1960,16.07168
United States,USA,1961,15.733178
United States,USA,1962,16.033813
United States,USA,1963,16.470348
United States,USA,1964,16.929379
United States,USA,1965,17.37532
United States,USA,1966,18.013338
United States,USA,1967,18.462694
United States,USA,1968,18.91976
United States,USA,1969,19.65487
United States,USA,1970,20.884323
United States,USA,1971,20.745802
United States,USA,1972,21.485434
United States,USA,1973,22.257154
United States,USA,1974,21.28936
United States,USA,1975,20.437992
United States,USA,1976,21.468273
United States,USA,1977,21.902563
United States,USA,1978,21.924551
United States,USA,1979,22.010122
United States,USA,1980,20.92102
United States,USA,1981,20.183939
United States,USA,1982,18.959597
United States,USA,1983,18.69184
United States,USA,1984,19.47947
United States,USA,1985,19.251644
United States,USA,1986,19.11719
United States,USA,1987,19.605083
United States,USA,1988,20.334122
United States,USA,1989,20.474888
United States,USA,1990,20.21111
United States,USA,1991,19.740822
United States,USA,1992,19.931076
United States,USA,1993,20.076859
United States,USA,1994,20.206358
United States,USA,1995,20.227972
United States,USA,1996,20.722765
United States,USA,1997,20.800028
United States,USA,1998,20.763779
United States,USA,1999,20.81858
United States,USA,2000,21.351597
United States,USA,2001,20.781439
United States,USA,2002,20.712757
United States,USA,2003,20.731209
United States,USA,2004,20.877535
United States,USA,2005,20.736685
United States,USA,2006,20.26138
United States,USA,2007,20.308895
United States,USA,2008,19.395718
United States,USA,2009,17.79321
United States,USA,2010,18.259064
United States,USA,2011,17.656881
United States,USA,2012,16.852184
United States,USA,2013,17.119564
United States,USA,2014,17.110548
United States,USA,2015,16.485851
United States,USA,2016,15.957657
United States,USA,2017,15.689611
United States,USA,2018,16.050419
United States,USA,2019,15.578152
United States,USA,2020,13.889587
United States,USA,2021,14.793602
United States,USA,2022,14.870761
United States,USA,2023,14.299026
